id,img_path,overview,cat1,cat2,cat3
TRAIN_00010,./image/train/TRAIN_00010.jpg,"외국인 묘지는 인천의 개항과 뿌리를 함께 한다. 이 묘지는 중구 북동동, 율목동, 미추홀구 도화동에 흩어져 있던 인국인 묘를 지난 1965년 5월 25일 한데 옮겨 놓은 것이다. 인천에 거주하는 외국인들이 계속 늘어나면서 자연히 노환 또는 각종 사고로 사망하는 이들도 생겨났다. 그러자 외국인들은 유해를 본국으로 보내지 못할 경우에 대비, 거주지 인근 야산을 골라 공동묘지를 만들었다. 이렇게 해서 일인묘지, 청인묘지(의장지). 각국 지계 외국인묘지가 자리잡기 시작해 오늘에 이르고 있다. 대지 5천 7백 60평, 묘지면적 3천 1백 40여 평에 달하는 외국인 묘지엔 영국인 21기, 미국인 14기, 러시아인 7기, 독일인 6기 등 모두 11개국 59명의 외국인 등이 잠들어 있다.<br>",인문(문화/예술/역사),역사관광지,유적지/사적지
TRAIN_00011,./image/train/TRAIN_00011.jpg,"성주 선바위 캠핑장은 경상북도 성주군 금수면 가야산 인근에 자리했다. 후평삼거리에서 ‘무주, 고령, 대덕’ 방면으로 우회전 후 약 14km를 달리면 닿는다. 입구에 다다르면 매점이 딸린 관리동이 있고, 그곳에서 바로 자리를 안내받을 수 있다. 캠핑장에 들어서면 계곡을 따라 줄지은 각 사이트를 확인할 수 있다. 약 3,305㎡의 부지에는 오토캠핑이 가능한 10면의 마사토 사이트와 방갈로 5개가 있다. 각 사이트에는 전기시설과 무선인터넷, 소화기가 구비되어 있으며, 남녀 화장실 각 1개소, 남녀 샤워실 각 1개소, 개수대 2개소가 있다. 여름에는 캠핑장과 맞닿은 계곡에서 물놀이를 즐기기 좋고, 건너편에 자리한 절벽의 경관은 눈을 즐겁게 한다. 계곡에는 당일치기로 놀러 온 사람들을 위한 평상도 마련되어있다. 캠핑장은 봄부터 가을까지 이용이 가능하다. 캠핑장 주변에는 가야산 국립공원, 독용산성 자연휴양림 등이 있어 연계 관광이 용이하다.",레포츠,육상 레포츠,"야영장,오토캠핑장"
TRAIN_00012,./image/train/TRAIN_00012.jpg,"힐튼호텔 출신 조리장이 운영하는 정통 스시 전문점이다. 메뉴로 새우, 계란말이, 광어, 연어, 도미 등의 초밥을 낱개로 주문할 수 있으며, 초모듬(11 피스, 15 피스), 생초모듬(11 피스, 15 피스), 연어아부리 스시 등이 있다. 스시(4피스)와 우동이 제공되는 런치 세트 메뉴와 생초모듬이 인기이다. 전화주문 후 차에서 바로 픽업할 수 있는 Drive Take-out 서비스를 운영하고 있다.",음식,음식점,일식
TRAIN_00013,./image/train/TRAIN_00013.jpg,"2001년 9월 22일 개장한 오서산 자연휴양림은 충남 보령시 청라면에 있는 명대계곡 부근에 위치하고 있다. 오서산으로 가려면 보령을 거쳐서 가야 하는데 , 여느 도시와는 다른 한가로움을 느낄 수 있고, 또한 휴양림이 있는 청라 방면으로 가는 길은 한적한 시골길이라 도심에서 벗어난다는 해방감을 느끼기에 충분하다. '오서산(烏捿山)'이라는 지명은 '까마귀의 보금자리'란 뜻에서 나온 것으로, 예로부터 까마귀와 까치가 많이 살았다고 하나, 아쉽게도 현재는 까마귀를 찾아보기 힘들다고 한다. 매표소와 휴양림 관리소를 지나 이어지는 임도를 따라 들어가면 갈림길이 나오고, 왼편에 큰 숲속수련관의 뒤쪽으로는 나 있는 탐방로를 따라 가면 대나무 숲을  비롯하여 휴양림 주변의 숲을 한바퀴 돌아볼 수 있다. 가족 또는 연인과 함께 낙조를 감상하기에도 좋은 오서산 정산(왕복 2~3시간)에 올라 시원하게 틔어 있는 서해바다를 바라보는 것도 운치있다.<br>",자연,자연관광지,자연휴양림
TRAIN_00014,./image/train/TRAIN_00014.jpg,"굴업도는 한국의 갈라파고스로 불리며, 떼묻지 않은 신비한 섬이다. 한국인이 꼭 한번은 가봐야 여행지로 격찬을 아끼지 않은 수식어가 딸린 곳으로 매우 아름다운 섬이다. 관광지로는 굴업해변과 선착장이 있으며 인구가 많지 않아서 편의시설이 사실상 거의 없다. 섬 대부분이 산지로 둘러싸여있어서 자연적인 분위기가 강하여 인공적인 시설은 드물거나 없는 편이다. 하지만 덕분에 천혜의 수려한 자연환경이 고스란히 남아있고, 불빛이 적어 여름밤에는 은하수를 고스란히 감상할 수 있어 개머리 언덕을 중심으로 캠핑족들의 발길이 끊이지 않고 있는 곳이다.
전체 주민이 20명이 채 되지 않는 작은 섬으로 주요 관광지로는 덕물산, 연평산, 개머리언덕, 토끼섬, 코끼리바위 등이 유명하며 굴업해수욕장과 목기미해수욕장 2개의 해수욕장을 가지고 있다. 자연 그대로의 넓은 목초지대, 다채로운 해안선, 산 위에서 바라보는 섬과 바다의 풍경 등이 아름답기 때문에 사진작가나 백패커(배낭여행족)에게 큰 인기를 끌고 있는 곳이다. 하늘과 바다와 초원을 한번에 감상할 수 있는 굴업도는 한국의 갈라파고스라는 수식어가 부족하게 느껴질 정도로 멋진 풍경을 자랑한다.",자연,자연관광지,섬
TRAIN_00015,./image/train/TRAIN_00015.jpg,헤이리마을 1 GATE 진입 후 왼쪽 첫 번째 건물에 있는 갤러리이다. 감성 넘치는 그림을 조향사가 추천한 향기로 표현한 향수와 함께 감상할 수 있다. 전시 중 마음에 들었던 향에 원하는 향료를 추가하여 만드는 체험 프로그램이 있다. 그림을 향기로 표현하여 나만의 향수로 만드는 조향 클래스에 참여하여 나만의 향을 만들어 볼 수도 있다. 전시 작품과 기간은 수시로 변동되므로 방문 전에 확인이 필요하다.,인문(문화/예술/역사),문화시설,전시관
TRAIN_00016,./image/train/TRAIN_00016.jpg,"이 서원은 고려 말기의 충신 정몽주를 추모하기 위하여 1553년(명종 8)에 노수(盧遂), 김응생(金應生), 정윤량(鄭允良), 정거(鄭琚) 등 향내 유림들이 임고면 고천리 부래산(浮來山) 아래 창건을 시작하였다. 1554년(명종 9)에는 명종으로부터 사서오경과 많은 위전(位田)을 하사받아 사액서원이 되었다. 최초의 사액서원인 백운동서원이 사액 된지 불과 5년 만에 사액되었으므로 초기 서원에 해당함을 알 수 있다. 이 때 역사가 깊은 이 서원이 훼철된 것은 개경에 있는 숭양서원(崧陽書院)에서 포은 선생을 향배하고 있었기 때문이다. 1919년 존영각을 건립하여 포은 선생의 영정만 모시고 향사를 지내오다 1965년에 다시 복원하여 위패를 모셨으며, 1980년에 보수정화 하였다. 이곳에 임고서원이 들어서게 된 것은 포은 선생의 부모 묘가 서원 뒤편 부래산에 있기 때문이다. 부래산 기슭에는 포은 선생의 부 일성부원군 운관(云瓘) 묘와 어머니변한국부인 영천 이씨 묘가 함께 있다. 그리고 서원 바로 옆에 묘소를 지키는 계현재(啓賢齋)가 있다.<br>",인문(문화/예술/역사),역사관광지,유적지/사적지
TRAIN_00017,./image/train/TRAIN_00017.jpg,"부천 원미구 심곡동에 있는 평양냉면집이다. 정인면옥은 1972년부터 시작된 평양냉면 전문점이다. 부천보건소 뒤에 있으며 주차장이 넓은 편이다. 식당 내부는 넓고 테이블이 많다. 유아용 의자가 따로 구비되어 있고, 단체 손님이 오면 가림막 설치가 가능하다. 앞치마, 메밀면을 삶은 뜨거운 면수는 셀프로 이용할 수 있다.
메뉴로는 평양냉면(물, 비빔), 순면(물, 비빔), 아롱사태 수육, 암퇘지 편육, 접시만두, 만두국, 녹두전, 어복쟁반, 만두전골 등이 있다. 매일 아침 메밀을 저온 공법으로 자가제분한 메밀로 면을 뽑으며, 1등급 한우로 만든 육수로 냉면을 만든다. 아롱사태 수육은 1+이상 한우로 만들고, 접시만두는 매일 아침 만든 평양식 만두소로 손으로 직접 빚어 만들고 있다. 어복쟁반은 1등급 국내산 한우와 버섯, 만두, 채소 등을 넣어 만든다. 녹두전이나 수육을 냉면 위에 올려 먹으면 더 맛있게 먹을 수 있다. 취향에 따라 겨자나 식초, 비빔냉면에는 설탕을 첨가해서 먹으면 좋다. 냉면을 다 먹고 난 후 따뜻한 면수로 입가심한다. 미쉐린가이드 2017년, 2018년, 2019년 선정되었으며, 함흥냉면과 다른 슴슴한 맛의 평양냉면을 맛볼 수 있다.",음식,음식점,한식
TRAIN_00018,./image/train/TRAIN_00018.jpg,단일 메뉴를 최고의 맛으로 제공하기 위해 보쌈 한 가지를 판매하고 있다. 맛있고 따뜻한 보쌈 제공을 위해 하루 6번 고기를 삶고 있으며 '고기 삶아 나오는 시간'을 안내해 주고 있다. 건물 한 동 전체를 사용하고 있어 내부와 주차시설이 넓고 편리하다. 식당 외부 전경이 아름다워 인스타그래머들의 인기를 얻고 있다.,음식,음식점,한식
TRAIN_00019,./image/train/TRAIN_00019.jpg,"어울림펜션 캠핑장은 강원도 영월에 위치한 펜션 겸 캠핑장이다. 소규모로 운영중인데 모두 5개의 캠핑 사이트가 있고, 잔디 바닥에 데크 사이트로 구성되어 있으며 조경이 잘 가꾸어져 있다. 사이트가 적어서 조용하고 쾌적한 캠핑을 할 수 있다. 인근에 한반도 지형까지는 차량으로 5분 거리, 청령포는 15분 거리, 법흥사는 20분 거리로 영월의 인기 관광지가 가까이 있어 편리하다. 동강 래프팅도 미리 예약하면 할인 혜택을 받을 수 있다.",레포츠,육상 레포츠,"야영장,오토캠핑장"
TRAIN_00020,./image/train/TRAIN_00020.jpg,"절벽과 강을 사이에 두고 바위를 깎아 세운 듯하다. 거대한 촛대를 세워 놓은 것 같은 바위가 선바위이고, 석벽과 절벽을 끼고 흐르는 두 물줄기가 합류하여 큰 강을 이루는 강을 남이포라 부릅니다. 선바위와 남이포는 조선 세조 때 남이 장군이 역모자들을 평정시켰다는 전설이 내려져오는 국민 관광지로 현재 선바위 지구에 자연생태마을, 농특산물직판장, 수변휴게공간, 산촌박물관, 보트장등을 설치하여 관광객을 유치하고자 개발중에 있는 곳이다.",인문(문화/예술/역사),휴양관광지,관광단지
TRAIN_00021,./image/train/TRAIN_00021.jpg,"전남 여수시에 위치한 트윈스모텔은 창문마다 작은 테라스가 달려있어 귀여운 느낌의 건물이다. 아기자기한 화분이 있는 정문을 지나 내부로 들어서면 플라워 패턴의 벽지가 화사하고 아늑한 온돌 방과 화려한 원형 침대가 있는 침대방이 편안해 보인다. 방마다 창문이 있어 햇빛이 잘 들어 낮에도 휴식하기에 좋다. TV, 에어컨, 컴퓨터, 미니 냉장고, 화장대 등의 편의 시설이 잘 되어 있다. 화장실이 청결하게 되어 있고, 욕조가 있어 목욕이 가능하다.",숙박,숙박시설,모텔
TRAIN_00022,./image/train/TRAIN_00022.jpg,"주양두리돈까스는 암사동 선사고등학교 부근에 있다. 이곳은 26년 전통의 음식점으로 맛집 TV 프로그램에도 소개된 맛집으로 20여 가지 재료의 천연소스와 국내산 생고기로 만든 무한리필 돈가스집이다. 매장 안은 넓고 쾌적하다. 80석의 좌석이 있어 단체 회식이나 각종 행사에도 적합하다. 분리된 공간으로 어린이 놀이방과 유아용 의자도 준비되어 있다. 대표 메뉴인 두리왕돈까스 외 생선, 치즈, 치킨 등 다양한 돈가스를 맛볼 수 있다. 주변에 암사역사공원, 광나루 한강공원, 광나루한강공원암사생태공원이 있어 연계 관광이 가능하다.",음식,음식점,일식
TRAIN_00023,./image/train/TRAIN_00023.jpg,"지산리조트 인근에 위치한 와우스키 렌탈샵은 넓은 주차장과 다양한 장비, 쾌적한 렌탈환경을 제공하고 있다.

* 개업일 2006년 11월 10일
* 지산리조트와 1km 거리에 위치, 약 1분 소요",레포츠,육상 레포츠,스키(보드) 렌탈샵
TRAIN_00024,./image/train/TRAIN_00024.jpg,"평택에 있는 앵무새카페이다. 1인당 입장료를 내고 입장한다. 별도의 비용을 내고 먹이 체험을 할 수 있다. 새를 사랑하는 친절한 운영자가 앵무새에 대한  안내를 해준다. 이용시간은 2시간이다.  3층에 자리 잡고 있어 건너편  배다리저수지가 보인다.  어린이들이 부모와 함께 많이 찾는다. 반려동물은 출입할 수 없다. 단, 조류와 함께 방문하는 경우, 미리 전화로 문의하여 가능 여부를 확인해야 한다.",음식,음식점,바/까페
TRAIN_00025,./image/train/TRAIN_00025.jpg,느티나무갈비는 이동갈비촌에서 찾아가기 어렵지 않다. 느티나무 한 그루가 건물 한가운데 자리 잡고 있기 때문이다. 건물 지붕 위에 느티나무가 보이면 바로 그 집이다.,음식,음식점,한식
TRAIN_00026,./image/train/TRAIN_00026.jpg,"경기도 남양주시 와부읍 도곡리에 있는 셰프의하늘정원은 남양주 유기농 단지 인근에 있는 퓨전 한정식 음식점이다. 한강변을 따라 음식점이 위치하였으며, 도곡IC와도 가까워 차량으로 이용하기 편리하다.",음식,음식점,한식
TRAIN_00027,./image/train/TRAIN_00027.jpg,10여년 조리쪽 일을하며 체계적으로 맛과 위생을 첫번째로 고객님들께 가성비 좋은 맛집이 되도록 노력하는 평창 맛집이다.,음식,음식점,채식전문점
TRAIN_00028,./image/train/TRAIN_00028.jpg,천리포수목원 목련축제는 871종의 목련개화를 한눈에 볼 수 있는 전국 유일한 목련을 테마로 한 축제이다. 특히 축제기간에는 비공개지역이었던 목련원과 목련산을 입장을 개방하는 3가지 프로그램을 진행한다. 천리포 바다가 한 눈에 보이는 데크길을 여유롭게 걸을 수 있는 것도 천리포수목원만의 특징이다.,인문(문화/예술/역사),축제,일반축제
TRAIN_00029,./image/train/TRAIN_00029.jpg,"대구그랜드호텔은 대구 교통과 비즈니스의 중심지인 수성구 범어동에 위치하고 있으며 초현대적 시설과 화려한 장식을 갖춘 대구 제일의 규모를 자랑하고 있다. 한식, 일식, 중식, 뷔페식당 그리고 남녀 사우나, 헬스클럽, 골프연습장 등과 예식 및 다양한 연회행사를 위한 다목적의 대·중·소 연회장들을 갖추고 있다.
또한 최고 수준의 서비스와 요리를 제공함으로써 대구 경북 최고의 비즈니스, 관광 명문호텔로서 선도적 역할을 성실히 수행해 내고 있으며 국내는 물론 해외에서도 명문호텔로 인정받고 있다. 고급스러운 분위기를 주는 인테리어와 최고급 가구 및 집기들이 마련되어 있으며 내 집처럼 편안한 휴식과 업무를 동시에 볼 수 있는 비즈니스맨에게 적합하도록 설계된 객실을 갖추고 있다.
비즈니스센터는 고객의 비즈니스 업무가 호텔 내에서 보다 편리하고 성공적으로 이루어질 수 있도록 도와주고 있고 최신형 개인 컴퓨터와 프린터, 복사기 등 사무기기가 갖추어진 워크스테이션을 통해 고객의 성공적인 비즈니스를 약속한다. 
대구그랜드호텔은 최고의 고객서비스 만족호텔을 지향하며 거듭나기 위해 장기적인 시설투자와 원칙적인 경영 그리고 끊임없는 창조와 변화의 노력을 계속해 나가가고자 한다.",숙박,숙박시설,한옥스테이
TRAIN_00030,./image/train/TRAIN_00030.jpg,"국제뿌리산업전시회는 나무의 뿌리처럼 겉으로 드러나지 않으나 최종 제품에 내재되어 제품 품질 경쟁력 제고에 있어 필수적인 요소인 뿌리산업을 주제로 한 국제전시회이다. 뿌리산업이란 6대 뿌리기술을 주력으로 소재와 제품의 중간 혹은 부품과 완제품 중간 공정의 제품을 생산하는 산업으로 6대 뿌리기술인 주조, 금형, 소성가공, 용접, 표면처리, 열처리 외에도 3D프린팅, 탄소섬유, 스마트공장 분야를 한눈에 전시함으로써 일반적인 전시회 개념을 넘어 첨단뿌리산업을 지향한다.",인문(문화/예술/역사),공연/행사,컨벤션
TRAIN_00031,./image/train/TRAIN_00031.jpg,"일광전구에서 운영하는 카페로 인천 개항로에 자리한다. 카페 건물은 원래 산부인과 건물이었다. 라이트하우스 간판 뒤로 원래 이름인 한산부인과 간판이 그대로 남아 있다. 폐업 후 10년 동안 방치되었던 건물과 사택, 감나무가 멋스러운 정원은 고스란히 감각적인 카페로 변신했다. 수술실 조명이나 입원실 문, 세월의 흔적이 고스란히 느껴지는 계단 등 곳곳에 옛 병원의 흔적들이 남아 있어 이를 찾아보는 재미도 쏠쏠하다. 1층에는 일광전구에서 사용했던 백열전구 만드는 기계를 전시해뒀다. 실제로 작동되는 기계라 더욱 특별한 볼거리를 제공한다. 기계 외에도 일광전구에서 생산되는 다양한 디자인의 조명을 감각적으로 설치해 오래된 건물임에도 빈티지한 매력과 화사한 분위기를 함께 즐길 수 있다.",음식,음식점,바/까페
TRAIN_00032,./image/train/TRAIN_00032.jpg,명활산성(사적)은 경주의 동쪽 명활산 꼭대기에 쌓은 둘레 약 6km의 신라 산성으로 유네스코 세계문화유산으로 등록된 경주 역사유적지구 중 하나이다. 명활산성은 동해로 쳐들어오는 왜구 등에 대하여 수도 경주를 방어하는 데 큰 몫을 담당했다. 왜구 침입이 극심하자 신라는 자비왕 18년(475)부터 소지왕 10년(488)까지 13년간 명활산성을 왕궁으로 사용했다는 기록이 전해진다.축성 시기는 확실치 않으나 실성왕 4년(405)에 이곳에서 왜구를 물리쳤다는 기록이 처음 등장하는 것으로 보아 최소 5세기 이전에 만들어진 것으로 추정된다. 축성방식 역시 다듬지 않은 돌을 사용하는 신라 초기의 방식을 취하고 있다. 명활산성은 선덕왕 16년(647)에 있었던 비담과 김유신의 일화로도 유명하다. 비담이 이곳을 근거지로 하여 반란을 일으켰으나 김유신이 다음 날 불붙인 연을 하늘로 올리는 기지를 발휘해 반란군을 물리쳤다고 한다.,인문(문화/예술/역사),역사관광지,성
TRAIN_00033,./image/train/TRAIN_00033.jpg,"덕승관은 충청북도 영동군 황간면 소계리에 자리 잡고 있다. SBS 예능 프로그램 '백종원의 3대 천왕'에 출연한 바 있다. 
대표 메뉴는 유니짜장이며, 짬뽕, 짬뽕밥, 잡채밥, 군만두, 탕수육 등도 맛볼 수 있지만, 팔보채, 유산슬, 양장피, 누룽지탕은 예약해야만 맛볼 수 있다. 
황간IC, 황간역에서 가깝다.",음식,음식점,중식
TRAIN_00034,./image/train/TRAIN_00034.jpg,"승전전망대는 적의 활동을 관측하기 위해 운영되는 최전방관측소이다. 과거 북한군이 침투한 ‘1.21 침투로’가 있는 장소로서 북측 군인들의 활발한 활동을 자세히 살펴볼 수 있다. 또한, 육안으로 북한군뿐만 아니라 북한의 여러 군사시설을 볼 수 있고, 망원경을 통해서 넓은 개활지인 연천평야를 한눈에 내려다 볼 수 있다. 육군 제25보병사단은 관람객들에게 보급로를 통한 도보답사, 1.21침투로, 승전전망대 관람 그리고 교육시스템을 제공하고 있다. 민간인 통제 초소이며, 신분증 제시 후 출입이 가능하다. 출입 후 초소의 안내에 따라 행동하고 개별행동은 삼가야 한다.<br>",인문(문화/예술/역사),역사관광지,안보관광
TRAIN_00035,./image/train/TRAIN_00035.jpg,"다비치안경 (명동점)은 직영점이며 영어, 중국어, 일본어 가능 직원을 다수 보유한 전문적인 검안 전문 매장으로 전국의 체인망을 통하여 검안 정보 확인이 가능하다. 다양한 해외 유명 브랜드와 합작한 자체 브랜드상품을 개발하여 가격정찰제, 고품질 제품을 합리적인 가격에 제공하고 있다. 전국 어디서나 A/S를 받을 수 있으며, 안경맞춤 후 1~3시간 후면 안경을 받을 수 있다는 특징이 있다.",쇼핑,쇼핑,전문상가
TRAIN_00036,./image/train/TRAIN_00036.jpg,일본인 건축가 출신 남편과 한국인 아내가 운영하는 사각하늘은 정통 일본 가이세키 요리 전문점이다. 예약제로 운영하기 때문에 넓은 공간에 손님은 많지 않아 고요하고 평화로운 음식점이다. 일본의 정식 요리인 가이세키 요리 전문점이지만 일반적으로 스키야키 정식과 우동 정식을 많이 찾는다.<br>,음식,음식점,일식
TRAIN_00037,./image/train/TRAIN_00037.jpg,"속리산 풍경을 즐기며 할 수 있는 레포츠 중 하나이다. 솔항공원 주차장 이용이 가능하고, 스카이바이크, 집라인, 스카이트레이 등과 함께 즐길 수 있다.  하부 승차장에서 전망카페까지 총 왕복 866m를 운행하며, 전망대에는 베이커리와 음료 등을 판매하는 카페도 있다. 당일 현장 접수만 하고 있으며, 1대당 수송 인원이 20명 정도로 적은 편이라 대기가 발생할 수 있다. 선착순 접수를 하니 미리 접수부터 하고 주변을 둘러보는 것이 좋다. 탑승 후 전망대에 도착해서도 먼저 하행 시간을 선착순 접수해놓는 것이 편리하다. 남는 대기 시간에는 주변의 도깨비공원이나 속리산 자생 식물원을 구경할 수 있다.",인문(문화/예술/역사),체험관광지,이색거리
TRAIN_00038,./image/train/TRAIN_00038.jpg,"서울 강남에 자리한 제로웨이스트 리필스테이션으로 ‘최초로 발생하는 플라스틱을 줄여보자’는 생각에서 출발했다고 한다. 덕분애에서 리필 가능한 제품은 주방세제부터 바디워시, 세탁세제까지 다양하다. 리필 구매를 위해선 미리 용기를 준비해야 한다. 저울에 준비한 용기를 올려 무게를 잰 후 필요한 만큼 적정량을 담고 다시 무게를 재면 끝. 이렇게 구매하는 리필제품은 불필요한 플라스틱 용기와 포장 비닐을 사용하지 않을뿐더러 가격도 저렴해서 환경과 경제를 모두 챙기는 현명한 소비다. 욕실용품 중 소모품인 칫솔과 치약을 대나무 칫솔이나 고체 치약으로 대체해 사용하는 등 일상에서 제로웨이스트의 삶을 비교적 쉽게 시작할 방법도 추천해준다.",쇼핑,쇼핑,전문상가
